Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL778-1.p,T,0.066,success,1.9.1pre005,0.022,6679,2532,34,435,78,62,10,0,0,16752,0,0,0,4,437,0,435,2532,92,2,2904,549,548,7584,14,70,334,72,2810,549,81,6,548,5,5,5,0,0,0,2,2,0,2,5,436,12768,0,1,0,0.005,0.071,578,172336075.txt,0001_FIFO,general,equational
LCL779-1.p,T,0.020,success,1.9.1pre005,0.022,1194,2,0,39,2,0,0,0,0,32,0,0,0,0,41,0,39,508,2,0,4,549,548,4152,1,1,9,0,2,549,29,0,42,5,5,5,0,0,0,2,2,0,2,5,40,32,0,1,0,0.003,0.023,0,172336079.txt,0001_FIFO,general,equational
LCL780-1.p,F,-,maxtime,1.9.1pre005,0.019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336083.txt,0001_FIFO,general,equational
LCL781-1.p,F,-,maxtime,1.9.1pre005,0.018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336087.txt,0001_FIFO,general,equational
LCL782-1.p,F,-,maxtime,1.9.1pre005,0.016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336091.txt,0001_FIFO,general,equational
LCL783-1.p,F,-,maxtime,1.9.1pre005,0.016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336095.txt,0001_FIFO,general,equational
LCL784-1.p,T,0.036,success,1.9.1pre005,0.016,2614,1067,29,257,29,42,3,0,0,5526,0,0,0,1,259,0,257,1067,85,2,1240,317,316,5720,12,19,181,67,1153,317,60,4,316,3,14,3,0,0,0,6,6,0,6,14,258,4508,0,1,0,0.004,0.040,433,172336099.txt,0001_FIFO,general,equational
LCL785-1.p,T,0.387,success,1.9.1pre005,0.018,75727,30028,60,1042,435,494,58,6,9,103657,0,0,0,58,1058,0,1027,28298,370,4,31823,418,417,31168,44,362,817,334,31449,418,147,19,1537,4,14,4,0,0,1,6,5,0,5,14,1042,86353,0,1,7,0.019,0.406,8249,172336103.txt,0001_FIFO,general,equational
LCL786-1.p,T,4.084,success,1.9.1pre005,0.020,549461,245469,100,2228,683,9492,291,8,11,278390,0,0,0,77,2249,0,2209,241038,750,6,251041,497,495,260640,72,545,1615,702,250285,497,355,167,3011,2,24,2,0,0,3,10,9,0,9,24,2228,180073,0,2,141,0.143,4.227,11477,172336107.txt,0001_FIFO,general,equational
LCL787-1.p,T,0.782,success,1.9.1pre005,0.016,137332,49330,60,1247,285,1198,25,4,9,108565,0,0,0,50,1260,0,1234,47699,469,2,51269,378,378,55404,42,287,961,435,50798,378,187,44,1592,2,16,2,0,0,2,7,6,0,5,16,1247,59198,0,0,8,0.029,0.811,4817,172336111.txt,0001_FIFO,general,equational
LCL788-1.p,T,0.027,success,1.9.1pre005,0.014,2861,1100,37,179,16,29,6,3,0,2206,0,0,0,0,183,0,176,1062,103,0,1316,242,241,5048,11,9,102,82,1213,242,58,5,232,3,15,3,0,0,1,5,6,0,5,15,179,1479,0,1,0,0.004,0.031,37,172336115.txt,0001_FIFO,general,equational
LCL789-1.p,T,0.033,success,1.9.1pre005,0.015,2972,1147,37,248,25,41,5,3,0,4608,0,0,0,0,252,0,245,1117,118,0,1374,321,321,5444,11,18,155,96,1256,321,75,4,311,3,7,3,0,0,0,3,3,0,3,7,249,2841,0,0,0,0.004,0.037,259,172336119.txt,0001_FIFO,general,equational
LCL790-1.p,F,-,maxtime,1.9.1pre005,0.024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336123.txt,0001_FIFO,general,equational
LCL791-1.p,F,-,maxtime,1.9.1pre005,0.035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172336127.txt,0001_FIFO,general,equational
LCL792-1.p,T,0.039,success,1.9.1pre005,0.039,3367,2,1,80,16,0,0,0,0,293,0,0,0,2,81,0,80,1133,5,0,11,1229,1228,5400,7,11,29,0,6,1229,44,0,97,3,7,3,0,0,1,3,3,0,2,7,80,280,0,1,0,0.002,0.041,21,172336131.txt,0001_FIFO,general,equational
