Problem,Status,User time,Failure,Version,Preprocessing time,...number of literals in the above,...of the previous two non-trivial,...of these trivial,...remaining for further processing,...subsumed,BW rewrite match attempts,BW rewrite match successes,Backward-rewritten,Backward-subsumed,Clause-clause subsumption calls (NU),Clauses deleted for lack of memory,Condensation attempts,Condensation successes,Contextual simplify-reflections,Current number of archived clauses,Current number of archived formulas,Current number of processed clauses,Current number of unprocessed clauses,Equation resolutions,Factorizations,Generated clauses,Initial clauses,Initial clauses in saturation,Maximum resident set size,Negative unit clauses,Non-unit clause-clause subsumptions,Non-unit-clauses,Other redundant clauses eliminated,Paramodulations,Parsed axioms,Positive orientable unit clauses,Positive unorientable unit clauses,Processed clauses,Proof object clause conjectures,Proof object clause steps,Proof object conjectures,Proof object formula conjectures,Proof object formula steps,Proof object generating inferences,Proof object given clauses,Proof object initial clauses used,Proof object initial formulas used,Proof object simplifying inferences,Proof object total steps,Proof search given clauses,Rec. Clause-clause subsumption calls,Removed by relevancy pruning/SinE,Removed in clause preprocessing,Rewrite failures with RHS unbound,System time,Total time,Unit Clause-clause subsumption calls,Filename,Heuristic,Type,Equational
LCL827-1.p,T,0.019,success,1.9.1pre005,0.020,701,7,2,61,11,7,0,0,0,27,0,0,0,0,63,0,61,324,2,0,12,393,392,4000,10,1,10,0,10,393,41,0,75,2,8,2,0,0,0,3,3,0,2,8,62,27,0,1,0,0.003,0.022,20,172377794.txt,0010_evo,general,equational
LCL828-1.p,T,16.221,success,1.9.1pre005,0.010,4088722,935212,132,3350,9225,2675,316,13,78,1763576,0,0,0,2012,3441,0,3259,906490,5465,323,948352,75,75,806368,55,10022,2997,5458,942564,75,154,53,12707,2,12,2,0,0,2,6,5,0,3,12,3350,566901,0,0,1154,0.579,16.801,7660,172377798.txt,0010_evo,general,equational
LCL829-1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377802.txt,0010_evo,general,equational
LCL830-1.p,F,-,maxtime,1.9.1pre005,0.021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377806.txt,0010_evo,general,equational
LCL831-1.p,F,-,maxtime,1.9.1pre005,0.017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377810.txt,0010_evo,general,equational
LCL832-1.p,F,-,maxtime,1.9.1pre005,0.010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377814.txt,0010_evo,general,equational
LCL833-1.p,F,-,maxtime,1.9.1pre005,0.027,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377818.txt,0010_evo,general,equational
LCL834-1.p,T,0.784,success,1.9.1pre005,0.022,142117,44757,150,1190,2082,951,37,7,6,201321,0,0,0,194,1204,0,1177,41574,1795,22,48691,472,471,43940,96,1605,791,1771,46874,472,280,10,3422,3,7,3,0,0,1,3,3,0,2,7,1190,166709,0,1,54,0.025,0.809,9333,172377822.txt,0010_evo,general,equational
LCL835-1.p,T,0.578,success,1.9.1pre005,0.022,80260,42280,880,1097,2507,8784,74,35,7,132787,0,0,0,158,1140,0,1055,37850,673,26,59597,494,493,36544,73,1642,530,643,58898,494,441,11,4484,2,10,2,0,0,2,5,4,0,1,10,1097,101981,0,1,0,0.026,0.604,5911,172377826.txt,0010_evo,general,equational
LCL836-1.p,F,-,maxtime,1.9.1pre005,0.025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377830.txt,0010_evo,general,equational
LCL837-1.p,T,0.835,success,1.9.1pre005,0.027,126575,51709,268,1212,5616,459,133,34,43,183197,0,0,0,457,1293,0,1135,43055,1921,18,65410,657,654,43848,87,4110,784,1897,63471,657,254,10,7097,5,17,5,0,0,1,7,6,0,7,17,1213,160426,0,3,0,0.020,0.855,3396,172377834.txt,0010_evo,general,equational
LCL838-1.p,F,-,maxtime,1.9.1pre005,0.020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377838.txt,0010_evo,general,equational
LCL839-1.p,T,0.025,success,1.9.1pre005,0.019,1581,465,17,146,106,19,8,0,0,775,0,0,0,0,148,0,145,576,47,6,641,389,388,4456,20,53,62,45,587,389,62,1,269,2,11,2,0,0,1,5,4,0,2,11,146,753,0,1,0,0.003,0.028,34,172377842.txt,0010_evo,general,equational
LCL840-1.p,F,-,maxtime,1.9.1pre005,0.010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377846.txt,0010_evo,general,equational
LCL841-1.p,F,-,maxtime,1.9.1pre005,0.021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377850.txt,0010_evo,general,equational
LCL842-1.p,F,-,maxtime,1.9.1pre005,0.009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377854.txt,0010_evo,general,equational
LCL843-1.p,T,0.008,success,1.9.1pre005,0.010,128,0,0,10,0,1,1,1,0,0,0,0,0,0,11,0,9,59,0,0,0,69,69,3028,1,0,0,0,0,69,8,0,10,3,5,3,0,0,0,2,2,0,2,5,10,0,0,0,0,0.002,0.010,0,172377858.txt,0010_evo,general,equational
LCL844-1.p,T,0.010,success,1.9.1pre005,0.010,123,0,0,13,1,0,0,0,0,0,0,0,0,0,13,0,13,55,0,0,1,69,69,3024,4,0,1,0,1,69,8,0,14,3,7,3,0,0,1,3,3,0,2,7,13,0,0,0,0,0.001,0.011,1,172377862.txt,0010_evo,general,equational
LCL845-1.p,F,-,maxtime,1.9.1pre005,0.038,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377864.txt,0010_evo,general,equational
LCL846-1.p,T,0.039,success,1.9.1pre005,0.043,3483,0,1,24,4,0,0,0,0,0,0,0,0,0,25,0,24,1200,0,0,1,1230,1229,5404,4,0,1,0,1,1230,19,0,29,3,7,3,0,0,1,3,3,0,2,7,24,0,0,1,0,0.005,0.044,4,172377866.txt,0010_evo,general,equational
LCL847-1.p,F,-,maxtime,1.9.1pre005,0.023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172377868.txt,0010_evo,general,equational
